name,locdate,isHoliday
1월1일,2023-01-01,Y
설날,2023-01-21,Y
설날,2023-01-22,Y
설날,2023-01-23,Y
대체공휴일,2023-01-24,Y
삼일절,2023-03-01,Y
어린이날,2023-05-05,Y
부처님오신날,2023-05-27,Y
대체공휴일,2023-05-29,Y
현충일,2023-06-06,Y
제헌절,2023-07-17,N
광복절,2023-08-15,Y
추석,2023-09-28,Y
추석,2023-09-29,Y
추석,2023-09-30,Y
임시공휴일,2023-10-02,Y
개천절,2023-10-03,Y
한글날,2023-10-09,Y
기독탄신일,2023-12-25,Y
1월1일,2024-01-01,Y
설날,2024-02-09,Y
설날,2024-02-10,Y
설날,2024-02-11,Y
대체공휴일(설날),2024-02-12,Y
삼일절,2024-03-01,Y
국회의원선거,2024-04-10,Y
어린이날,2024-05-05,Y
대체공휴일(어린이날),2024-05-06,Y
부처님오신날,2024-05-15,Y
현충일,2024-06-06,Y
제헌절,2024-07-17,N
광복절,2024-08-15,Y
추석,2024-09-16,Y
추석,2024-09-17,Y
추석,2024-09-18,Y
임시공휴일,2024-10-01,Y
개천절,2024-10-03,Y
한글날,2024-10-09,Y
기독탄신일,2024-12-25,Y
1월1일,2025-01-01,Y
임시공휴일,2025-01-27,Y
설날,2025-01-28,Y
설날,2025-01-29,Y
설날,2025-01-30,Y
삼일절,2025-03-01,Y
대체공휴일,2025-03-03,Y
어린이날,2025-05-05,Y
부처님오신날,2025-05-05,Y
대체공휴일,2025-05-06,Y
임시공휴일(제21대 대통령 선거),2025-06-03,Y
현충일,2025-06-06,Y
제헌절,2025-07-17,N
광복절,2025-08-15,Y
개천절,2025-10-03,Y
추석,2025-10-05,Y
추석,2025-10-06,Y
추석,2025-10-07,Y
대체공휴일,2025-10-08,Y
한글날,2025-10-09,Y
기독탄신일,2025-12-25,Y
