feature,pearson,spearman,abs_pearson,abs_spearman,pearson_log1p,spearman_log1p,abs_pearson_log1p,abs_spearman_log1p,score,중요도_레벨
solar_term_sum,0.6757895368093291,0.5595442132240188,0.6757895368093291,0.5595442132240188,0.6136399252678405,0.5594788136597003,0.6136399252678405,0.5594788136597003,0.5865593694637704,중요
season_sum,0.634589620786668,0.5667274813513749,0.634589620786668,0.5667274813513749,0.5889079550935369,0.5667274813513749,0.5889079550935369,0.5667274813513749,0.5778177182224559,중요
quarter_sum,0.4578980014778163,0.5049693442439495,0.4578980014778163,0.5049693442439495,0.5281243394521258,0.5049766649972668,0.5281243394521258,0.5049766649972668,0.5165505022246963,중요
zero_sales_day_ratio,-0.1145552968517919,-0.4316602788334071,0.1145552968517919,0.4316602788334071,-0.3878725826612416,-0.4316602788334071,0.3878725826612416,0.4316602788334071,0.4097664307473244,중요하지 않음
avg_sales_all_days,0.4304333323242192,0.3617137636587278,0.4304333323242192,0.3617137636587278,0.4505275208816588,0.3617137636587278,0.4505275208816588,0.3617137636587278,0.4061206422701933,중요
avg_sales_nonzero_days,0.4094254447064757,0.2898884985014352,0.4094254447064757,0.2898884985014352,0.3860181851982198,0.2898884985014352,0.3860181851982198,0.2898884985014352,0.3379533418498275,중요
var_sales_nonzero_days,0.3627645405044101,0.2788168113271689,0.3627645405044101,0.2788168113271689,0.3768084952903631,0.2788168113271689,0.3768084952903631,0.2788168113271689,0.3278126533087659,중요
demand_volatility,-0.0433543497758715,-0.3524986798168482,0.0433543497758715,0.3524986798168482,-0.2738701250456126,-0.3524986798168482,0.2738701250456126,0.3524986798168482,0.3131844024312304,중요하지 않음
menu_rank,0.2041495516945461,0.3009525143668379,0.2041495516945461,0.3009525143668379,0.3209916214106521,0.3009525143668379,0.3209916214106521,0.3009525143668379,0.310972067888745,중요
weekday_score,0.11419288778987,0.2113911890726094,0.11419288778987,0.2113911890726094,0.2042789878628172,0.2113930740966362,0.2042789878628172,0.2113930740966362,0.2078360309797267,중요
season,0.1155222069586582,0.1370760437172567,0.1155222069586582,0.1370760437172567,0.1470486038142699,0.1370760437172567,0.1470486038142699,0.1370760437172567,0.1420623237657633,중요
weekday,0.0554897397658045,0.1279052547955259,0.0554897397658045,0.1279052547955259,0.1146630621574734,0.1279052547955259,0.1146630621574734,0.1279052547955259,0.1212841584764996,중간
banquet_type,0.0517989213090414,0.1140393676373756,0.0517989213090414,0.1140393676373756,0.1217948253212852,0.1140393676373756,0.1217948253212852,0.1140393676373756,0.1179170964793304,중간
non_work,0.0571957259027415,0.1062629423291763,0.0571957259027415,0.1062629423291763,0.1028426171827839,0.1062629423291763,0.1028426171827839,0.1062629423291763,0.1045527797559801,중요
is_after_holiday,-0.0397200736337629,-0.1033700656479117,0.0397200736337629,0.1033700656479117,-0.0884962880959375,-0.1033700656479117,0.0884962880959375,0.1033700656479117,0.0959331768719246,중요하지 않음
is_weekend,0.050470060693054,0.0939971545670181,0.050470060693054,0.0939971545670181,0.0901571289925131,0.0939971545670181,0.0901571289925131,0.0939971545670181,0.0920771417797656,중간
menu_category,-0.037655172264966,-0.1067564758946129,0.037655172264966,0.1067564758946129,-0.074820286715162,-0.1067564758946129,0.074820286715162,0.1067564758946129,0.0907883813048874,중요하지 않음
quarter,-0.0213490925760039,0.0796218786439892,0.0213490925760039,0.0796218786439892,0.0389974788777387,0.0796218786439892,0.0389974788777387,0.0796218786439892,0.0593096787608639,중요하지 않음
is_before_holiday,0.0108964593259384,0.0594480669533101,0.0108964593259384,0.0594480669533101,0.0427692674776423,0.0594480669533101,0.0427692674776423,0.0594480669533101,0.0511086672154762,중간
hallroom_flag,0.0391126220449466,0.0420143869957422,0.0391126220449466,0.0420143869957422,0.0600740351980565,0.0420143869957422,0.0600740351980565,0.0420143869957422,0.0510442110968993,중간
is_holiday,0.0316414461099256,0.0459480269790774,0.0316414461099256,0.0459480269790774,0.0499621596330259,0.0459480269790774,0.0499621596330259,0.0459480269790774,0.0479550933060516,중간
time_idx,-0.0043526443320971,0.0658052033779742,0.0043526443320971,0.0658052033779742,0.0164088483175464,0.0658052033779742,0.0164088483175464,0.0658052033779742,0.0411070258477603,중간
solar_term,-0.0240705503854951,0.0570433732102365,0.0240705503854951,0.0570433732102365,-0.0132228241224471,0.0570433732102365,0.0132228241224471,0.0570433732102365,0.0351330986663418,중요하지 않음
month,-0.0370266547516834,0.0450885225726686,0.0370266547516834,0.0450885225726686,-0.0110242750427053,0.0450885225726686,0.0110242750427053,0.0450885225726686,0.0280563988076869,중요하지 않음
year,0.0177305883526994,0.0255300082385789,0.0177305883526994,0.0255300082385789,0.0185341175770191,0.0255300082385789,0.0185341175770191,0.0255300082385789,0.022032062907799,중간
brunch_flag,-0.0123272062549742,0.0170428417192349,0.0123272062549742,0.0170428417192349,-0.0100020506915216,0.0170428417192349,0.0100020506915216,0.0170428417192349,0.0135224462053783,중요하지 않음
is_sandwich,-0.0048783879057293,0.015463203302166,0.0048783879057293,0.015463203302166,0.0110796509829412,0.015463203302166,0.0110796509829412,0.015463203302166,0.0132714271425536,중요하지 않음
day,0.003592718089154,0.0187767007065696,0.003592718089154,0.0187767007065696,0.0064113279516311,0.0187767007065696,0.0064113279516311,0.0187767007065696,0.0125940143291004,중간
