feature,perm_delta_smape,분류
avg_sales_nonzero_monthly,354.8978984919597,유지 (핵심 피처)
weekday_score,129.55422093833067,유지 (핵심 피처)
roll_max_7,34.075580057595744,유지 (핵심 피처)
roll_mean_7,33.87918222648079,유지 (핵심 피처)
is_holiday,15.76447259080794,유지 (핵심 피처)
roll_std_7,12.979921567895415,유지 (핵심 피처)
roll_std_28,12.17464710145066,유지 (핵심 피처)
item_dow_idx,10.271903274595276,유지 (핵심 피처)
lag_1,9.946440741484253,유지 (핵심 피처)
roll_max_14,9.81007186300542,유지 (핵심 피처)
roll_std_14,9.711178306060448,유지 (핵심 피처)
var_sales_nonzero_days,8.529463948846796,유지 (핵심 피처)
avg_sales_nonzero_days,8.12087941725622,유지 (핵심 피처)
item_id,7.591610946908418,유지 (핵심 피처)
days_since_last_sale,7.010038268601875,유지 (핵심 피처)
exp_shop_dow_mean,5.891226693264116,유지 (핵심 피처)
roll_mean_14,5.327452940852027,유지 (핵심 피처)
exp_item_dow_mean,5.307525946487431,유지 (핵심 피처)
nonzero_rate_28,5.199567916977344,유지 (핵심 피처)
lag_7,4.758096854621044,고민 (중간 중요도)
zero_sales_day_ratio,4.752781954597026,고민 (중간 중요도)
_solar_term_enc,4.709997826856011,고민 (중간 중요도)
avg_sales_all_days,4.195084978341583,고민 (중간 중요도)
is_sandwich,3.614346161431058,고민 (중간 중요도)
roll_max_28,3.583251923707053,고민 (중간 중요도)
exp_item_mean,3.5550268321266003,고민 (중간 중요도)
shop_dow_idx,3.3976637165901598,고민 (중간 중요도)
solar_term_sum,3.3381627444134665,고민 (중간 중요도)
lag_14,2.994401664549173,고민 (중간 중요도)
is_before_holiday,2.2596451207302835,고민 (중간 중요도)
season_sum,1.892383195633215,고민 (중간 중요도)
demand_volatility,1.778740160093662,고민 (중간 중요도)
menu_rank,1.733417937817194,고민 (중간 중요도)
day,1.6902620184727084,고민 (중간 중요도)
dow_cos,1.2846449396383832,고민 (중간 중요도)
roll_mean_28,1.2633009038955834,고민 (중간 중요도)
woy_cos,1.173637589075156,고민 (중간 중요도)
lag_28,0.9379383730148448,고민 (중간 중요도)
dow_sin,0.9342921076635092,고민 (중간 중요도)
trend_7_1,0.8949306890096977,고민 (중간 중요도)
_menu_category_enc,0.744718773546424,고민 (중간 중요도)
dow,0.694724102517057,고민 (중간 중요도)
is_after_holiday,0.4434778835828865,고민 (중간 중요도)
quarter_sum,0.2970812120893242,고민 (중간 중요도)
roll_min_14,0.2829047508657822,고민 (중간 중요도)
month,0.2147482151166286,제거 후보 (낮은 중요도)
woy,0.1644591870226577,제거 후보 (낮은 중요도)
roll_min_28,0.1443495414360995,제거 후보 (낮은 중요도)
week,0.09736002823945,제거 후보 (낮은 중요도)
_season_enc,0.0698739045795946,제거 후보 (낮은 중요도)
woy_sin,0.0623796550703446,제거 후보 (낮은 중요도)
month_cos,0.0068592386882073,제거 후보 (낮은 중요도)
brunch_flag,0.0031182304797994,제거 후보 (낮은 중요도)
quarter,0.0,제거 후보 (낮은 중요도)
is_weekend,0.0,제거 후보 (낮은 중요도)
year,0.0,제거 후보 (낮은 중요도)
time_idx,0.0,제거 후보 (낮은 중요도)
month_sin,0.0,제거 후보 (낮은 중요도)
weekday,-0.1026339315827726,제거 후보 (낮은 중요도)
roll_min_7,-0.395389559269347,제거 후보 (낮은 중요도)
업장_id,-0.432055434415588,제거 후보 (낮은 중요도)
hallroom_flag,-0.4746128329404655,제거 후보 (낮은 중요도)
delta_1_7,-0.5387496177304456,제거 후보 (낮은 중요도)
trend_14_7,-0.5970589209122181,제거 후보 (낮은 중요도)
