feature,perm_delta_smape,category
avg_sales_nonzero_days,150.3234655123315,유지(핵심피쳐)
roll_mean_7,94.14265957767452,유지(핵심피쳐)
roll_std_28,45.68999006428476,유지(핵심피쳐)
item_dow_idx,43.86569146225793,유지(핵심피쳐)
roll_max_7,41.28347495938988,유지(핵심피쳐)
avg_sales_all_days,39.327466376473694,유지(핵심피쳐)
roll_mean_28,34.90651169382147,유지(핵심피쳐)
roll_max_14,33.92750401157366,유지(핵심피쳐)
roll_mean_14,27.66816192257716,유지(핵심피쳐)
zero_sales_day_ratio,24.91587556891068,유지(핵심피쳐)
lag_1,23.458401358582023,유지(핵심피쳐)
item_id,19.361170876721417,유지(핵심피쳐)
is_holiday,16.58588490887496,유지(핵심피쳐)
exp_item_dow_mean,16.1660472988774,유지(핵심피쳐)
roll_std_7,13.286531533139623,유지(핵심피쳐)
roll_std_14,11.90405832634417,유지(핵심피쳐)
nonzero_rate_28,11.551298642423149,유지(핵심피쳐)
exp_shop_dow_mean,11.117916958518208,고민(중간중요도)
demand_volatility,7.873749658788256,고민(중간중요도)
exp_item_mean,7.503394960609398,고민(중간중요도)
roll_max_28,7.203683923742688,고민(중간중요도)
lag_7,6.931789481981241,고민(중간중요도)
dow,6.659921465916227,고민(중간중요도)
trend_7_1,6.434760323890373,고민(중간중요도)
lag_14,6.155795111434031,고민(중간중요도)
dow_sin,5.961763791086014,고민(중간중요도)
shop_dow_idx,4.7937376687762026,고민(중간중요도)
day,4.4783181615488274,고민(중간중요도)
is_sandwich,4.070700811912957,고민(중간중요도)
days_since_last_sale,4.038771333752038,고민(중간중요도)
_menu_category_enc,3.3892655012047044,고민(중간중요도)
lag_28,2.7399666392288964,고민(중간중요도)
is_before_holiday,2.6656906488012737,고민(중간중요도)
month_cos,2.5365256686465045,제거 후보(낮은 중요도)
is_after_holiday,2.4823123452475784,제거 후보(낮은 중요도)
trend_14_7,2.410815962482957,제거 후보(낮은 중요도)
woy_cos,2.0536304473419023,제거 후보(낮은 중요도)
delta_1_7,0.8116900914485541,제거 후보(낮은 중요도)
dow_cos,0.7828853180047872,제거 후보(낮은 중요도)
week,0.6972334736241237,제거 후보(낮은 중요도)
month,0.3918126462177724,제거 후보(낮은 중요도)
roll_min_14,0.2841210109501162,제거 후보(낮은 중요도)
_season_enc,0.1328905251413061,제거 후보(낮은 중요도)
is_weekday_price,0.1067249517597019,제거 후보(낮은 중요도)
is_weekend_price,0.0043050597188312,제거 후보(낮은 중요도)
brunch_flag,0.002071705899084,제거 후보(낮은 중요도)
is_alcohol,0.0,제거 후보(낮은 중요도)
cum_share_ref_solar,0.0,제거 후보(낮은 중요도)
cum_share_ref_season,0.0,제거 후보(낮은 중요도)
cum_share_ref,0.0,제거 후보(낮은 중요도)
day_of_quarter,0.0,제거 후보(낮은 중요도)
quarter,0.0,제거 후보(낮은 중요도)
demand_stability,0.0,제거 후보(낮은 중요도)
is_set_menu,0.0,제거 후보(낮은 중요도)
is_sparse_menu,0.0,제거 후보(낮은 중요도)
is_drink,0.0,제거 후보(낮은 중요도)
year,0.0,제거 후보(낮은 중요도)
is_popular,0.0,제거 후보(낮은 중요도)
is_weekend,0.0,제거 후보(낮은 중요도)
_banquet_type_enc,0.0,제거 후보(낮은 중요도)
month_sin,-6.850632530586154e-06,제거 후보(낮은 중요도)
woy,-0.0149642192995997,제거 후보(낮은 중요도)
roll_min_28,-0.0810056537383161,제거 후보(낮은 중요도)
roll_min_7,-0.2190765539171479,제거 후보(낮은 중요도)
hallroom_flag,-0.442908994581785,제거 후보(낮은 중요도)
woy_sin,-0.4956405411930973,제거 후보(낮은 중요도)
업장_id,-0.7051804775352366,제거 후보(낮은 중요도)
