name,locdate,solar_term
동지,2022-12-22,23
소한,2023-01-06,0
대한,2023-01-20,1
입춘,2023-02-04,2
우수,2023-02-19,3
경칩,2023-03-06,4
춘분,2023-03-21,5
청명,2023-04-05,6
곡우,2023-04-20,7
입하,2023-05-06,8
소만,2023-05-21,9
망종,2023-06-06,10
하지,2023-06-21,11
소서,2023-07-07,12
대서,2023-07-23,13
입추,2023-08-08,14
처서,2023-08-23,15
백로,2023-09-08,16
추분,2023-09-23,17
한로,2023-10-08,18
상강,2023-10-24,19
입동,2023-11-08,20
소설,2023-11-22,21
대설,2023-12-07,22
동지,2023-12-22,23
소한,2024-01-06,0
대한,2024-01-20,1
입춘,2024-02-04,2
우수,2024-02-19,3
경칩,2024-03-05,4
춘분,2024-03-20,5
청명,2024-04-04,6
곡우,2024-04-19,7
입하,2024-05-05,8
소만,2024-05-20,9
망종,2024-06-05,10
하지,2024-06-21,11
소서,2024-07-06,12
대서,2024-07-22,13
입추,2024-08-07,14
처서,2024-08-22,15
백로,2024-09-07,16
추분,2024-09-22,17
한로,2024-10-08,18
상강,2024-10-23,19
입동,2024-11-07,20
소설,2024-11-22,21
대설,2024-12-07,22
동지,2024-12-21,23
소한,2025-01-05,0
대한,2025-01-20,1
입춘,2025-02-03,2
우수,2025-02-18,3
경칩,2025-03-05,4
춘분,2025-03-20,5
청명,2025-04-04,6
곡우,2025-04-20,7
입하,2025-05-05,8
소만,2025-05-21,9
망종,2025-06-05,10
하지,2025-06-21,11
소서,2025-07-07,12
대서,2025-07-22,13
입추,2025-08-07,14
처서,2025-08-23,15
백로,2025-09-07,16
추분,2025-09-23,17
한로,2025-10-08,18
상강,2025-10-23,19
입동,2025-11-07,20
소설,2025-11-22,21
대설,2025-12-07,22
동지,2025-12-22,23
